Viggo MortensenR,Viggo MortensenR.1
Mortensen in 2020,Mortensen in 2020
Born,"Viggo Peter Mortensen Jr. October 20, 1958 (age 66) Watertown, New York, U.S."
Citizenship,United StatesDenmark[1]
Alma mater,St. Lawrence University
Occupations,Actorartistmusiciandirectorproducer
Years active,1984–present
Spouse,Exene Cervenka ​ ​(m. 1987; div. 1997)​
Partner,Ariadna Gil (2009–present)
Children,1
Awards,Full list
